Word,Count
shootin',5
zones,5
nigga,5
zero,5
dash,5
yesterday,5
sounds,5
yours,5
yoga,5
romance,5
hand,5
stole,5
least,5
chilling,5
sunny,5
bumpin',5
here's,5
rate,5
recipe,5
lately,5
f,5
rotisserie,5
dad,5
rhyme,5
clown,5
honestly,5
barely,5
op,5
een,5
bent,5
ben,5
records,5
wifi,5
search,5
hour,5
balenciaga,5
fish,5
mumble,5
changed,5
gouda,5
y,5
wrote,5
runnin,5
kind,5
wallet,5
freaks,5
somethin',5
um,5
1,5
cups,5
mercedes,5
breath,5
dm's,5
dimes,5
mente,5
'sto,5
vali,5
niente,5
qualcuno,5
vale,5
tha,5
stash,5
pe,5
cu,5
"""baby",5
laugh,5
thanks,5
killed,5
none,5
verse,5
ways,5
rode,5
caught,5
bananas,5
rhymes,5
piss,5
'boutta,5
soup,5
daily,5
built,5
cartier,5
investments,5
banks,5
crime,5
burn,5
fully,5
degree,5
depp,5
copped,5
brought,5
careful,5
card,5
lock,5
blacked,5
licks,5
quotient,5
constantly,5
toys,5
ikea,5
grabbin',5
crack,5
runnin’,5
fling,5
hop,5
blowing,5
lamb,5
bandage,5
glance,5
manage,5
hustle,5
24/7,5
voice,5
wit',5
hill,5
asses,5
blizzard,5
tock,5
tater,5
drippity,5
waddle,5
putting,5
popping,5
nerve,5
truck,5
wassup,5
copper,5
cavity,5
spray,5
finer,5
ya',5
tony,5
crop,5
twerk,5
swiffer,5
mentally,5
cabbage,5
sandals,5
'dro,5
perky,5
akuma,5
beefin',5
lotion,5
family,5
table,5
form,5
bingo,5
pump,5
trick,5
texas,4
beside,4
wages,4
add,4
knock,4
yay,4
plane,4
distance,4
jeans,4
say-,4
brush,4
honeys,4
hunnid,4
genie,4
topanga,4
supposed,4
soundin',4
wishin',4
photo,4
stocks,4
dreams,4
amount,4
feels,4
we'd,4
va,4
j'suis,4
à,4
sont,4
du,4
j'en,4
miles,4
manners,4
steez,4
swiss,4
l,4
rapping,4
buddy,4
vasectomy,4
elon,4
musk,4
lee,4
eighties,4
primadonna,4
tijuana,4
blood,4
bad-ass,4
horny,4
mezcal,4
tasty,4
borders,4
embassy,4
turkey,4
rent,4
pro,4
cheat,4
gin,4
